0.004917	0.523690551	0.004917	-0.2204132808
0.009833	-0.6242047462	0.009833	-0.4452804613	
0.01475	-0.778194682	0.01475	-0.677255618	
0.019666	-0.9149057373	0.019666	-0.9119684164	
0.02458	-1.042800384	0.02458	-1.126510033	
0.029495	-1.166102927	0.029495	-1.269440302	
0.034409	-1.264209542	0.034409	-1.303064028	
0.03932	-1.359672631	0.03932	-1.279990175	
0.044232	-1.478992748	0.044232	-1.299601179	
0.049141	-1.601745676	0.049141	-1.371959445	
0.054048	-1.69446807	0.054048	-1.446734948	
0.058954	-1.762519098	0.058954	-1.511025564	
0.063859	-1.810366536	0.063859	-1.566706421	
0.068759	-1.856005238	0.068759	-1.616437448	
0.073659	-1.889191514	0.073659	-1.662131642	
0.078557	-1.924526035	0.078557	-1.704962821	
0.08345	-1.958338925	0.08345	-1.745689086	
0.088342	-1.991749107	0.088342	-1.784877803	
0.093231	-2.022813423	0.093231	-1.822892129	
0.098115	-2.056235494	0.098115	-1.859998763	
0.102997	-2.091009671	0.102997	-1.896437025	
0.107876	-2.122009334	0.107876	-1.932370472	
0.11275	-2.154400329	0.11275	-1.967923563	
0.117622	-2.187345961	0.117622	-2.003233331	
0.122489	-2.218796278	0.122489	-2.038374868	
0.127351	-2.253053813	0.127351	-2.073430731	
0.13221	-2.287377232	0.13221	-2.108486248	
0.137065	-2.320123504	0.137065	-2.143595611	
0.141913	-2.354847037	0.141913	-2.178790418	
0.146758	-2.388818571	0.146758	-2.214146206	
0.151598	-2.419943341	0.151598	-2.24968909	
0.156432	-2.454084555	0.156432	-2.285447067	
0.161261	-2.487792042	0.161261	-2.321458284	
0.166086	-2.524936377	0.166086	-2.357757037	
0.170903	-2.561038589	0.170903	-2.394336065	
0.175716	-2.597338047	0.175716	-2.4312452	
0.180523	-2.630466889	0.180523	-2.468485683	
0.185322	-2.670709945	0.185322	-2.50605526	
0.190116	-2.704138339	0.190116	-2.543988102	
0.194905	-2.738948976	0.194905	-2.582292781	
0.199684	-2.780480963	0.199684	-2.620934874	
0.204459	-2.816087023	0.204459	-2.659966378	
0.209227	-2.850848655	0.209227	-2.699364532	
0.213986	-2.889326132	0.213986	-2.739111898	
0.21874	-2.926453936	0.21874	-2.779239316	
0.223486	-2.967228175	0.223486	-2.819717191	
0.228223	-3.007064489	0.228223	-2.86053044	
0.232954	-3.044964421	0.232954	-2.901696939	
0.237677	-3.084281553	0.237677	-2.943189841	
0.24239	-3.121834518	0.24239	-2.984980113	
0.247097	-3.162276497	0.247097	-3.027090575	
0.251795	-3.201914512	0.251795	-3.069480519	
0.256483	-3.242252578	0.256483	-3.112125351	
0.261164	-3.281912874	0.261164	-3.155035889	
0.265837	-3.31819545	0.265837	-3.198185689	
0.270498	-3.36112155	0.270498	-3.241519165	
0.275152	-3.39899554	0.275152	-3.285063529	
0.279797	-3.438307233	0.279797	-3.328780504	
0.284431	-3.479736618	0.284431	-3.372630981	
0.289057	-3.516950734	0.289057	-3.416622953	
0.293673	-3.555106192	0.293673	-3.46071709	
0.298277	-3.595359536	0.298277	-3.504873966	
0.302873	-3.634120952	0.302873	-3.54911221	
0.307459	-3.670583814	0.307459	-3.593393631	
0.312032	-3.713316786	0.312032	-3.63767103	
0.316597	-3.752333547	0.316597	-3.681975834	
0.321151	-3.789237512	0.321151	-3.726263393	
0.325693	-3.826997398	0.325693	-3.770509909	
0.330225	-3.862338952	0.330225	-3.814722579	
