0.00815	-0.1367267594	0.00815	-0.1367267594	0.00815	0.06151392117
0.012225	-0.1427248704	0.012225	-0.1427248704	0.012225	-0.1222184914	
0.016298	-0.1773498859	0.016298	-0.1773498859	0.016298	-0.2195302868	
0.02037	-0.2151244895	0.02037	-0.2151244895	0.02037	-0.2423386109	
0.024441	-0.2587782576	0.024441	-0.2587782576	0.024441	-0.2464498506	
0.02851	-0.3113106075	0.02851	-0.3113106075	0.02851	-0.2848724665	
0.032576	-0.3734540331	0.032576	-0.3734540331	0.032576	-0.3713895987	
0.036641	-0.4512888195	0.036641	-0.4512888195	0.036641	-0.4755253898	
0.040702	-0.552228341	0.040702	-0.552228341	0.040702	-0.5706443471	
0.04476	-0.6767268561	0.04476	-0.6767268561	0.04476	-0.6702067848	
0.048815	-0.8350502509	0.048815	-0.8350502509	0.048815	-0.8137202079	
0.052866	-1.016718534	0.052866	-1.016718534	0.052866	-1.015553034	
0.056913	-1.215033202	0.056913	-1.215033202	0.056913	-1.240279056	
0.060956	-1.425475885	0.060956	-1.425475885	0.060956	-1.44327572	
0.064994	-1.641432649	0.064994	-1.641432649	0.064994	-1.627871755	
0.069027	-1.868268767	0.069027	-1.868268767	0.069027	-1.839122834	
0.073055	-2.099513743	0.073055	-2.099513743	0.073055	-2.099565524	
0.077077	-2.335573157	0.077077	-2.335573157	0.077077	-2.364492189	
0.081094	-2.526968	0.081094	-2.526968	0.081094	-2.564124361	
0.085104	-2.742914486	0.085104	-2.742914486	0.085104	-2.709944736	
0.089108	-2.980841737	0.089108	-2.980841737	0.089108	-2.907750238	
0.093105	-3.241362844	0.093105	-3.241362844	0.093105	-3.2681687	
0.097095	-3.517042423	0.097095	-3.517042423	0.097095	-3.760821061	
0.101078	-4.455200599	0.101078	-4.455200599	0.101078	-4.207098931	
0.105052	-4.526420925	0.105052	-4.526420925	0.105052	-4.409009305	
0.109019	-4.19772357	0.109019	-4.19772357	0.109019	-4.319175015	
0.112978	-4.013948583	0.112978	-4.013948583	0.112978	-4.056477554	
0.116928	-3.856331126	0.116928	-3.856331126	0.116928	-3.82161382	
0.120869	-3.749697371	0.120869	-3.749697371	0.120869	-3.709267374	
0.124801	-3.678294304	0.124801	-3.678294304	0.124801	-3.687897954	
0.128723	-3.630711952	0.128723	-3.630711952	0.128723	-3.667917058	
0.132636	-3.601386489	0.132636	-3.601386489	0.132636	-3.616614553	
0.136538	-3.587870045	0.136538	-3.587870045	0.136538	-3.568400335	
0.14043	-3.584315159	0.14043	-3.584315159	0.14043	-3.563570386	
0.144311	-3.592895433	0.144311	-3.592895433	0.144311	-3.596971439	
0.148182	-3.607849159	0.148182	-3.607849159	0.148182	-3.629863275	
0.152041	-3.628802054	0.152041	-3.628802054	0.152041	-3.640239814	
0.155888	-3.656259854	0.155888	-3.656259854	0.155888	-3.644958982	
0.159724	-3.690355143	0.159724	-3.690355143	0.159724	-3.673319727	
0.163547	-3.72941269	0.163547	-3.72941269	0.163547	-3.728541251	
0.167358	-3.769746044	0.167358	-3.769746044	0.167358	-3.786412419	
0.171157	-3.814501475	0.171157	-3.814501475	0.171157	-3.827426495	
0.174942	-3.866126239	0.174942	-3.866126239	0.174942	-3.858010542	
0.178714	-3.9151818	0.178714	-3.9151818	0.178714	-3.901186891	
0.182472	-3.970502184	0.182472	-3.970502184	0.182472	-3.965626329	
0.186216	-4.023659101	0.186216	-4.023659101	0.186216	-4.037669631	
0.189947	-4.085898285	0.189947	-4.085898285	0.189947	-4.098013295	
0.193662	-4.147758019	0.193662	-4.147758019	0.193662	-4.145654023	
0.197363	-4.210046984	0.197363	-4.210046984	0.197363	-4.197632657	
0.201049	-4.276870212	0.201049	-4.276870212	0.201049	-4.26733057	
0.20472	-4.33829576	0.20472	-4.33829576	0.20472	-4.349590428	
0.208375	-4.415147596	0.208375	-4.415147596	0.208375	-4.426574181	
0.212014	-4.487743173	0.212014	-4.487743173	0.212014	-4.4886093	
0.215637	-4.550381847	0.215637	-4.550381847	0.215637	-4.544809549	
0.219244	-4.623678038	0.219244	-4.623678038	0.219244	-4.610446045	
0.222834	-4.690025939	0.222834	-4.690025939	0.222834	-4.689347423	
0.226407	-4.751612756	0.226407	-4.751612756	0.226407	-4.769461069	
0.229963	-4.837301204	0.229963	-4.837301204	0.229963	-4.835754865	
0.233501	-4.877663847	0.233501	-4.877663847	0.233501	-4.885958514	
0.237021	-4.952042094	0.237021	-4.952042094	0.237021	-4.932872535	
0.240524	-5.001739789	0.240524	-5.001739789	0.240524	-4.989538215	
0.244008	-5.041920322	0.244008	-5.041920322	0.244008	-5.056025141	
0.247473	-5.101015142	0.247473	-5.101015142	0.247473	-5.121188894	
0.25092	-5.188216074	0.25092	-5.188216074	0.25092	-5.175308235	
0.254347	-5.219082796	0.254347	-5.219082796	0.254347	-5.219596525	
0.257755	-5.272291889	0.257755	-5.272291889	0.257755	-5.263003944	
0.261144	-5.317821969	0.261144	-5.317821969	0.261144	-5.310668692	
0.264513	-5.355566335	0.264513	-5.355566335	0.264513	-5.357600409	
0.267861	-5.380170038	0.267861	-5.380170038	0.267861	-5.394945589	
0.271189	-5.405736652	0.271189	-5.405736652	0.271189	-5.422301033	
0.274497	-5.463047084	0.274497	-5.463047084	0.274497	-5.452445103	
0.277783	-5.528987295	0.277783	-5.528987295	0.277783	-5.502161401	
0.281049	-5.57437906	0.281049	-5.57437906	0.281049	-5.576846356	
0.284293	-5.649645941	0.284293	-5.649645941	0.284293	-5.66327477	
0.287515	-5.708211712	0.287515	-5.708211712	0.287515	-5.738795507	
0.290715	-5.830103187	0.290715	-5.830103187	0.290715	-5.790133242	
0.293894	-5.779501223	0.293894	-5.779501223	0.293894	-5.826896419	
0.29705	-5.884598199	0.29705	-5.884598199	0.29705	-5.87941511	
0.300183	-6.0582603	0.300183	-6.0582603	0.300183	-5.975107417	
0.303293	-6.218307872	0.303293	-6.218307872	0.303293	-6.117706393	
0.306381	-5.961794861	0.306381	-5.961794861	0.306381	-6.282902034	
0.309445	-6.359716973	0.309445	-6.359716973	0.309445	-6.430698439	
0.312485	-7	0.312485	-7	0.312485	-6.526127045	
0.315502	-6.191104759	0.315502	-6.191104759	0.315502	-6.552001505	
0.318494	-6.903879731	0.318494	-6.903879731	0.318494	-6.524588864	
0.321463	-6.071666172	0.321463	-6.071666172	0.321463	-6.469133474	
0.324407	-6.286095772	0.324407	-6.286095772	0.324407	-6.406417513	
0.327326	-6.710980596	0.327326	-6.710980596	0.327326	-6.345368478	
0.33022	-6.280499421	0.33022	-6.280499421	0.33022	-6.282047426	
0.333089	-6.113103202	0.333089	-6.113103202	0.333089	-6.21019945	
0.335933	-6.115014992	0.335933	-6.115014992	0.335933	-6.128927175	
0.338751	-5.96507129	0.338751	-5.96507129	0.338751	-6.046169938	
0.341543	-5.95338272	0.341543	-5.95338272	0.341543	-5.974114114	
0.34431	-6.058464518	0.34431	-6.058464518	0.34431	-5.920511251	
0.34705	-5.807818789	0.34705	-5.807818789	0.34705	-5.887246654	
0.349763	-5.938856764	0.349763	-5.938856764	0.349763	-5.863640734	
0.352451	-5.769153753	0.352451	-5.769153753	0.352451	-5.839371259	
0.355111	-5.81942486	0.355111	-5.81942486	0.355111	-5.806093913	
0.357744	-5.738239822	0.357744	-5.738239822	0.357744	-5.764016852	
0.36035	-5.706907167	0.36035	-5.706907167	0.36035	-5.719216062	
0.362928	-5.676779055	0.362928	-5.676779055	0.362928	-5.680303747	
0.365479	-5.709681297	0.365479	-5.709681297	0.365479	-5.655672743	
0.368002	-5.702955954	0.368002	-5.702955954	0.368002	-5.643715285	
0.370497	-5.56016429	0.370497	-5.56016429	0.370497	-5.64159158	
0.372964	-5.620417311	0.372964	-5.620417311	0.372964	-5.640352007	
0.375402	-5.668124265	0.375402	-5.668124265	0.375402	-5.632331013	
0.377812	-5.560041426	0.377812	-5.560041426	0.377812	-5.615604944	
0.380193	-5.601068327	0.380193	-5.601068327	0.380193	-5.59081093	
0.382545	-5.593881204	0.382545	-5.593881204	0.382545	-5.564279153	
0.384868	-5.553316539	0.384868	-5.553316539	0.384868	-5.543251798	
0.387162	-5.546200991	0.387162	-5.546200991	0.387162	-5.536046977	
0.389426	-5.568821896	0.389426	-5.568821896	0.389426	-5.544650333	
0.39166	-5.585617193	0.39166	-5.585617193	0.39166	-5.570501622	
0.393865	-5.575289013	0.393865	-5.575289013	0.393865	-5.610645733	
0.39604	-5.565251029	0.39604	-5.565251029	0.39604	-5.657097948	
0.398184	-5.554054877	0.398184	-5.554054877	0.398184	-5.70260076	
