0.00815	-0.1367267594	0.00815	-0.1367267594	0.00815	-0.1386083039
0.012225	-0.1427248704	0.012225	-0.1427248704	0.012225	-0.1458258446	
0.016298	-0.1773498859	0.016298	-0.1773498859	0.016298	-0.1714348423	
0.02037	-0.2151244895	0.02037	-0.2151244895	0.02037	-0.2092204517	
0.024441	-0.2587782576	0.024441	-0.2587782576	0.024441	-0.2563383024	
0.02851	-0.3113106075	0.02851	-0.3113106075	0.02851	-0.312612404	
0.032576	-0.3734540331	0.032576	-0.3734540331	0.032576	-0.3798547171	
0.036641	-0.4512888195	0.036641	-0.4512888195	0.036641	-0.4612417578	
0.040702	-0.552228341	0.040702	-0.552228341	0.040702	-0.5604837068	
0.04476	-0.6767268561	0.04476	-0.6767268561	0.04476	-0.6813190959	
0.048815	-0.8350502509	0.048815	-0.8350502509	0.048815	-0.826757604	
0.052866	-1.016718534	0.052866	-1.016718534	0.052866	-0.9983933896	
0.056913	-1.215033202	0.056913	-1.215033202	0.056913	-1.195826064	
0.060956	-1.425475885	0.060956	-1.425475885	0.060956	-1.415995814	
0.064994	-1.641432649	0.064994	-1.641432649	0.064994	-1.652495281	
0.069027	-1.868268767	0.069027	-1.868268767	0.069027	-1.895070773	
0.073055	-2.099513743	0.073055	-2.099513743	0.073055	-2.129116856	
0.077077	-2.335573157	0.077077	-2.335573157	0.077077	-2.338757479	
0.081094	-2.526968	0.081094	-2.526968	0.081094	-2.519134313	
0.085104	-2.742914486	0.085104	-2.742914486	0.085104	-2.691579406	
0.089108	-2.980841737	0.089108	-2.980841737	0.089108	-2.917804844	
0.093105	-3.241362844	0.093105	-3.241362844	0.093105	-3.280532062	
0.097095	-3.517042423	0.097095	-3.517042423	0.097095	-3.78239996	
0.101078	-4.455200599	0.101078	-4.455200599	0.101078	-4.225797118	
0.105052	-4.526420925	0.105052	-4.526420925	0.105052	-4.356773562	
0.109019	-4.19772357	0.109019	-4.19772357	0.109019	-4.262629251	
0.112978	-4.013948583	0.112978	-4.013948583	0.112978	-4.098328897	
0.116928	-3.856331126	0.116928	-3.856331126	0.116928	-3.934222187	
0.120869	-3.749697371	0.120869	-3.749697371	0.120869	-3.797673523	
0.124801	-3.678294304	0.124801	-3.678294304	0.124801	-3.695298252	
0.128723	-3.630711952	0.128723	-3.630711952	0.128723	-3.623943151	
0.132636	-3.601386489	0.132636	-3.601386489	0.132636	-3.578657732	
0.136538	-3.587870045	0.136538	-3.587870045	0.136538	-3.555041951	
0.14043	-3.584315159	0.14043	-3.584315159	0.14043	-3.549219619	
0.144311	-3.592895433	0.144311	-3.592895433	0.144311	-3.557843512	
0.148182	-3.607849159	0.148182	-3.607849159	0.148182	-3.578045542	
0.152041	-3.628802054	0.152041	-3.628802054	0.152041	-3.607380365	
0.155888	-3.656259854	0.155888	-3.656259854	0.155888	-3.643807614	
0.159724	-3.690355143	0.159724	-3.690355143	0.159724	-3.685663082	
0.163547	-3.72941269	0.163547	-3.72941269	0.163547	-3.731575742	
0.167358	-3.769746044	0.167358	-3.769746044	0.167358	-3.780497263	
0.171157	-3.814501475	0.171157	-3.814501475	0.171157	-3.831624289	
0.174942	-3.866126239	0.174942	-3.866126239	0.174942	-3.884346741	
0.178714	-3.9151818	0.178714	-3.9151818	0.178714	-3.93828443	
0.182472	-3.970502184	0.182472	-3.970502184	0.182472	-3.993187464	
0.186216	-4.023659101	0.186216	-4.023659101	0.186216	-4.048948067	
