0.01475	-0.778194682	0.01475	-0.7855471209	0.01475	-0.7781980256
0.019666	-0.9149057373	0.019666	-0.9058984591	0.019666	-0.9126838736	
0.02458	-1.042800384	0.02458	-1.047065656	0.02458	-1.050789234	
0.029495	-1.166102927	0.029495	-1.167990346	0.029495	-1.160133496	
0.034409	-1.264209542	0.034409	-1.261895014	0.034409	-1.257239986	
0.03932	-1.359672631	0.03932	-1.358750472	0.03932	-1.365288521	
0.044232	-1.478992748	0.044232	-1.479248878	0.044232	-1.485217682	
0.049141	-1.601745676	0.049141	-1.60290058	0.049141	-1.600185787	
0.054048	-1.69446807	0.054048	-1.698765124	0.054048	-1.693676853	
0.058954	-1.762519098	0.058954	-1.762875285	0.058954	-1.76183317	
0.063859	-1.810366536	0.063859	-1.809189168	0.063859	-1.811248716	
0.068759	-1.856005238	0.068759	-1.848795488	0.068759	-1.851127663	
0.073659	-1.889191514	0.073659	-1.886229758	0.073659	-1.88751128	
0.078557	-1.924526035	0.078557	-1.922494818	0.078557	-1.922764273	
0.08345	-1.958338925	0.08345	-1.957775527	0.08345	-1.957387444	
0.088342	-1.991749107	0.088342	-1.992265025	0.088342	-1.99150214	
0.093231	-2.022813423	0.093231	-2.026099673	0.093231	-2.025172148	
0.098115	-2.056235494	0.098115	-2.059404086	0.098115	-2.058461673	
0.102997	-2.091009671	0.102997	-2.092324764	0.102997	-2.091468122	
0.107876	-2.122009334	0.107876	-2.124969158	0.107876	-2.124260048	
0.11275	-2.154400329	0.11275	-2.157427278	0.11275	-2.156897437	
0.117622	-2.187345961	0.117622	-2.189811984	0.117622	-2.189471107	
0.122489	-2.218796278	0.122489	-2.222186293	0.122489	-2.222028477	
0.127351	-2.253053813	0.127351	-2.254623798	0.127351	-2.25463317	
0.13221	-2.287377232	0.13221	-2.287202699	0.13221	-2.287357859	
0.137065	-2.320123504	0.137065	-2.319973029	0.137065	-2.320250195	
0.141913	-2.354847037	0.141913	-2.352963359	0.141913	-2.353338501	
0.146758	-2.388818571	0.146758	-2.386242686	0.146758	-2.386692772	
0.151598	-2.419943341	0.151598	-2.419832521	0.151598	-2.420335759	
0.156432	-2.454084555	0.156432	-2.45375451	0.156432	-2.454290538	
0.161261	-2.487792042	0.161261	-2.488038244	0.161261	-2.488588273	
0.166086	-2.524936377	0.166086	-2.522708003	0.166086	-2.5232549	
0.170903	-2.561038589	0.170903	-2.557746542	0.170903	-2.558274927	
0.175716	-2.597338047	0.175716	-2.593189502	0.175716	-2.593685796	
0.180523	-2.630466889	0.180523	-2.629024368	0.180523	-2.629476848	
0.185322	-2.670709945	0.185322	-2.66523364	0.185322	-2.665632484	
0.190116	-2.704138339	0.190116	-2.701833578	0.190116	-2.702170811	
0.194905	-2.738948976	0.194905	-2.738814621	0.194905	-2.739084124	
0.199684	-2.780480963	0.199684	-2.776124689	0.199684	-2.776322245	
0.204459	-2.816087023	0.204459	-2.81379436	0.204459	-2.813917438	
0.209227	-2.850848655	0.209227	-2.851781465	0.209227	-2.851829282	
0.213986	-2.889326132	0.213986	-2.890048696	0.213986	-2.890022118	
0.21874	-2.926453936	0.21874	-2.928605094	0.21874	-2.928506436	
0.223486	-2.967228175	0.223486	-2.967401645	0.223486	-2.967234656	
0.228223	-3.007064489	0.228223	-3.006403747	0.228223	-3.006173437	
0.232954	-3.044964421	0.232954	-3.045608792	0.232954	-3.04532123	
0.237677	-3.084281553	0.237677	-3.084972201	0.237677	-3.08463441	
0.24239	-3.121834518	0.24239	-3.124448535	0.24239	-3.124068295	
0.247097	-3.162276497	0.247097	-3.164042446	0.247097	-3.16362805	
0.251795	-3.201914512	0.251795	-3.203699965	0.251795	-3.203260063	
0.256483	-3.242252578	0.256483	-3.243384068	0.256483	-3.24292742	
0.261164	-3.281912874	0.261164	-3.283092235	0.261164	-3.282627462	
0.265837	-3.31819545	0.265837	-3.322788945	0.265837	-3.322324299	
0.270498	-3.36112155	0.270498	-3.36241411	0.270498	-3.361957263	
0.275152	-3.39899554	0.275152	-3.401985203	0.275152	-3.401543192	
0.279797	-3.438307233	0.279797	-3.441461219	0.279797	-3.441040433	
0.284431	-3.479736618	0.284431	-3.480802177	0.284431	-3.480408342	
0.289057	-3.516950734	0.289057	-3.520011526	0.289057	-3.519649736	
0.293673	-3.555106192	0.293673	-3.559051222	0.293673	-3.558725911	
0.298277	-3.595359536	0.298277	-3.597884294	0.298277	-3.597599234	
0.302873	-3.634120952	0.302873	-3.636525261	0.302873	-3.636283623	
0.307459	-3.670583814	0.307459	-3.67493887	0.307459	-3.674743184	
0.312032	-3.713316786	0.312032	-3.713082636	0.312032	-3.712934785	
0.316597	-3.752333547	0.316597	-3.750981623	0.316597	-3.750882944	
0.321151	-3.789237512	0.321151	-3.78859496	0.321151	-3.788546174	
0.325693	-3.826997398	0.325693	-3.825899439	0.325693	-3.825900692	
0.330225	-3.862338952	0.330225	-3.862897218	0.330225	-3.862948133	
0.334746	-3.898180779	0.334746	-3.899566508	0.334746	-3.899666173	
0.339254	-3.938649321	0.339254	-3.935878397	0.339254	-3.936025381	
0.343752	-3.974812967	0.343752	-3.971844948	0.343752	-3.972037379	
0.348238	-4.010634291	0.348238	-4.007438631	0.348238	-4.007674168	
0.352711	-4.04715527	0.352711	-4.042640872	0.352711	-4.042916752	
0.357174	-4.079762895	0.357174	-4.077465054	0.357174	-4.07777815	
0.361625	-4.115138959	0.361625	-4.111885813	0.361625	-4.112232626	
0.366061	-4.14970183	0.366061	-4.145871275	0.366061	-4.146247961	
0.370487	-4.184282822	0.370487	-4.179451395	0.370487	-4.179853857	
